risk_id,risk_title,severity,likelihood,tabletop_gate,subscale_in_space_gate,mission_ready_gate,tabletop_status,subscale_in_space_status,mission_ready_status,proof_artifact,evidence_link,evidence_year,combined_stressor_coverage,notes
PV-01,"Proton/electron radiation creates defects, charge traps, and output decay",High,Medium,"Irradiate coupon stack with mission-relevant proton/electron spectra; report pre/post I-V, EQE, dark current, and annealing behavior.","Expose instrumented coupons in LEO with periodic I-V sweeps and temperature/radiation logs.","Show end-of-life power margin after dose equivalent to mission duration plus design margin.",open,open,open,"Radiation test report; dose model; EOL power budget.",https://www.mdpi.com/1422-0067/27/8/3459,2026,partial,"Core space-environment risk; must be tested with thermal/vacuum interactions before mission credit."
PV-02,"Thermal cycling causes microcracks, delamination, and interfacial stress",High,High,"Cycle full stack across expected hot/cold bounds in vacuum; inspect adhesion, cracks, series resistance, and encapsulant strain.","Fly coupon on a thermally representative plate; log cycles and degradation per orbit.","Demonstrate stable output after mission-equivalent cycles with deployable substrate attached.",open,open,open,"Thermal-vacuum cycling report; microscopy; power retention curve.",https://www.mdpi.com/1422-0067/27/8/3459,2026,partial,"Highest-priority package/mechanics risk because LEO cycles repeat every orbit."
PV-03,"Vacuum and heat drive volatile loss, stoichiometry shifts, ion migration, or electrode reactions",High,Medium,"Hold encapsulated and unencapsulated stacks at hot-case vacuum; measure mass loss, gas species, and I-V drift.","Compare witness coupons with different encapsulation/barrier recipes in LEO.","Qualify stack with bounded outgassing, no critical interface reaction, and acceptable drift under combined stress.",open,open,open,"TVAC/outgassing report; materials compatibility matrix.",https://www.mdpi.com/1422-0067/27/8/3459,2026,partial,"Do not infer vacuum readiness from ambient stability tests."
PV-04,"AM0 ultraviolet exposure accelerates photochemical degradation",Medium,High,"Run AM0 UV dose testing with continuous maximum-power tracking and spectral response checks.","Correlate UV exposure telemetry with I-V degradation on exposed coupons.","Demonstrate UV-stable stack or protective coating across mission dose plus margin.",open,open,open,"AM0 UV exposure report; coating selection memo.",https://www.mdpi.com/1422-0067/27/8/3459,2026,partial,"AM0/UV spectrum must be explicit in test reports."
PV-05,"Atomic oxygen erodes unprotected surfaces in LEO",High,Medium,"Atomic-oxygen beam test on complete encapsulated stack, edges, interconnects, and coatings.","Fly edge-sealed coupons at a known LEO altitude/inclination; inspect erosion and leakage.","Show AO erosion margin for selected orbit or choose altitude/attitude constraints that avoid the risk.",open,open,open,"AO test report; orbit-dependent erosion model.",https://www.mdpi.com/1422-0067/27/8/3459,2026,partial,"Risk depends strongly on chosen LEO altitude and exposed materials."
PV-06,"Encapsulation/barrier design trades protection against mass, flexibility, optical loss, and repairability",High,High,"Compare barrier recipes for water/oxygen ingress, UV loss, AO resistance, flex fatigue, and areal density.","Fly at least two barrier variants with identical cells to separate cell vs package degradation.","Freeze an encapsulation stack with verified optical transmission, edge seal reliability, and mass budget fit.",open,open,open,"Encapsulation trade matrix; selected stack drawing; areal-density budget.",https://www.mdpi.com/1422-0067/27/8/3459,2026,partial,"Bridge from promising cell to usable SNS power surface."
PV-07,"Manufacturing variability and scale-up reduce yield, uniformity, and predictability",Medium,High,"Build statistically meaningful coupon lot; report efficiency distribution, defect density, and process controls.","Fly representative lot samples, not only best cells.","Establish acceptance sampling and derating rules for production lots.",open,open,open,"Lot qualification report; SPC/yield dashboard.",https://www.mdpi.com/1422-0067/27/8/3459,2026,none,"Needed before many-node swarm assumptions use PSC averages."
PV-08,"Flexible deployment, stowage, vibration, and handling damage films or interconnects",High,Medium,"Run stow/deploy cycles, bend-radius testing, launch vibration, and post-test I-V/EL imaging.","Demonstrate deployment on a small space-rated carrier or hosted payload.","Qualify integrated PV blanket, hinges, interconnects, and strain relief at mission scale.",open,open,open,"Deployment test report; vibration report; post-deploy power map.",https://www.nasa.gov/directorates/stmd/impact-story-roll-out-solar-arrays/,2026,none,"ROSA-like deployables are structural reference points, not PSC blanket qualification."
PV-09,"Micrometeoroid/orbital debris punctures create localized shorts, cracks, or contamination paths",Medium,Medium,"Hypervelocity impact or surrogate puncture test with electrical isolation analysis.","Track degradation/local failures on exposed coupons where possible.","Design segmentation and bypass so single damage sites do not cascade.",open,open,open,"Damage-tolerance analysis; segment/bypass schematic.",https://www.mdpi.com/1422-0067/27/8/3459,2026,none,"Large-area thin films increase exposed target area."
PV-10,"Measurement optimism: short demonstrations under-report long-duration, combined-stressor degradation",High,High,"Define combined-stressor protocol and minimum reporting fields before accepting evidence.","Require public/partner data with time-resolved environment telemetry, not only headline efficiency.","Use model validated by ground + flight data to predict EOL power with uncertainty bands.",in_progress,open,open,"Qualification protocol; data schema; validated degradation model.",https://www.ricoh.com/release/2025/1027_1,2025,partial,"Short in-space demonstrations are pathfinders until paired with telemetry and duration scaling."
